query,id,document_snippet,metadata,score
What is a cognizable offence?,ch14_sec198B,"Section Title : Cognizance of offence , Section_description: No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital rela","{'section': '198B', 'chapter': '14', 'title': 'Cognizance of offence'}",1.5586147
What is a cognizable offence?,ch14_sec190,"Section Title : Cognizance of offences by Magistrates , Section_description: Subject to the provisions of this Chapter, any Magistrate of the first class, and any Magistrate of the second class specia","{'chapter': '14', 'section': '190', 'title': 'Cognizance of offences by Magistrates'}",1.3224027
What is a cognizable offence?,ch14_sec193,"Section Title : Cognizance of offences by Courts of Session , Section_description: Except as otherwise expressly provided by this Code or by any other law for the time being in force, no Court of Sess","{'chapter': '14', 'title': 'Cognizance of offences by Courts of Session', 'section': '193'}",1.0159816
Define non-cognizable offence.,ch14_sec198B,"Section Title : Cognizance of offence , Section_description: No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital rela","{'chapter': '14', 'section': '198B', 'title': 'Cognizance of offence'}",-0.0043114405
Define non-cognizable offence.,ch14_sec193,"Section Title : Cognizance of offences by Courts of Session , Section_description: Except as otherwise expressly provided by this Code or by any other law for the time being in force, no Court of Sess","{'title': 'Cognizance of offences by Courts of Session', 'chapter': '14', 'section': '193'}",-0.17709121
Define non-cognizable offence.,ch14_sec190,"Section Title : Cognizance of offences by Magistrates , Section_description: Subject to the provisions of this Chapter, any Magistrate of the first class, and any Magistrate of the second class specia","{'title': 'Cognizance of offences by Magistrates', 'section': '190', 'chapter': '14'}",-1.1890057
What is a warrant case?,ch20_sec259,"Section Title : Power of Court to convert summons-cases into warrant cases , Section_description: When in the course of the trial of a summons-case relating to an offence punishable with imprisonment ","{'title': 'Power of Court to convert summons-cases into warrant cases', 'section': '259', 'chapter': '20'}",3.6868913
What is a warrant case?,ch6_sec87,"Section Title : Issue of warrant in lieu of, or in addition to, summons , Section_description: A Court may, in any case in which it is empowered by this Code to issue a summons for the appearance of a","{'chapter': '6', 'title': 'Issue of warrant in lieu of, or in addition to, summons', 'section': '87'}",1.800251
What is a warrant case?,ch8_sec113,"Section Title : Summons or warrant in case of person not so present , Section_description: If such person is not present in Court, the Magistrate shall issue a summons requiring him to appear, or, whe","{'chapter': '8', 'section': '113', 'title': 'Summons or warrant in case of person not so present'}",1.5947434
What is a summons case?,ch20_sec259,"Section Title : Power of Court to convert summons-cases into warrant cases , Section_description: When in the course of the trial of a summons-case relating to an offence punishable with imprisonment ","{'chapter': '20', 'section': '259', 'title': 'Power of Court to convert summons-cases into warrant cases'}",5.0412946
What is a summons case?,ch6_sec67,"Section Title : Service of summons outside local limits , Section_description: When a Court desires that a summons issued by it shall be served at any place outside its local jurisdiction, it shall or","{'section': '67', 'title': 'Service of summons outside local limits', 'chapter': '6'}",2.1346204
What is a summons case?,ch6_sec62,"Section Title : Summons how served , Section_description: Every summons shall be served by a police officer, or subject to such rules as the State Government may make in this behalf, by an officer of ","{'title': 'Summons how served', 'section': '62', 'chapter': '6'}",1.9915313
Who is considered a police officer in this Code?,ch12_sec156,"Section Title : Police officer , Section_description: Any officer in charge of a police station may, without the order of a Magistrate, investigate any cognizable case which a Court having jurisdictio","{'title': 'Police officer', 'section': '156', 'chapter': '12'}",1.2752503
Who is considered a police officer in this Code?,ch5_sec48,"Section Title : Pursuit of offenders into other jurisdictions , Section_description: A police officer may, for the purpose of arresting without warrant any person whom he is authorised to arrest, purs","{'chapter': '5', 'title': 'Pursuit of offenders into other jurisdictions', 'section': '48'}",0.55362785
Who is considered a police officer in this Code?,ch3_sec33,"Section Title : Powers of officers appointed , Section_description: Whenever any person holding an office in the service of Government who has been invested by the High Court or the State Government w","{'chapter': '3', 'section': '33', 'title': 'Powers of officers appointed'}",-2.1474934
How is an investigation started by police?,ch16_sec210,"Section Title : Procedure to be followed when there is a complaint case and police investigation in respect of the same offence , Section_description: When in a case instituted otherwise than on a pol","{'chapter': '16', 'section': '210', 'title': 'Procedure to be followed when there is a complaint case and police investigation in respect of the same offence'}",0.21279366
How is an investigation started by police?,ch12_sec157,"Section Title : Procedure for investigation , Section_description: If, from information received or otherwise, an officer in charge of a police station has reason to suspect the commission of an offen","{'title': 'Procedure for investigation', 'section': '157', 'chapter': '12'}",-1.2307274
